reg,cl_age90,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
94,29,2021-02-16,0,0,,,,20,0
28,9,2021-05-03,5,0,4.0,1.0,0.0,62,0
27,49,2021-05-02,51,13,24.0,4.0,10.0,1112,22
52,9,2021-01-24,0,0,,,,43,0
94,90,2021-06-22,3,0,0.0,3.0,0.0,83,43
53,49,2020-12-11,13,4,,,,222,3
1,89,2021-06-24,13,1,6.0,6.0,0.0,174,78
84,0,2020-03-20,463,87,,,,179,33
84,19,2021-05-09,21,2,10.0,1.0,8.0,404,1
44,29,2021-05-05,26,2,20.0,1.0,3.0,867,3
32,29,2021-02-20,24,4,,,,666,3
1,39,2021-02-28,0,0,,,,63,2
44,69,2021-05-27,283,78,130.0,70.0,5.0,6758,1073
52,19,2021-03-07,3,0,,,,55,0
44,79,2021-01-27,716,130,,,,5161,1651
32,39,2020-12-16,30,7,,,,817,8
2,9,2021-04-07,0,0,0.0,0.0,0.0,1,0
1,79,2020-03-27,4,4,,,,1,1
2,59,2021-03-26,5,1,4.0,0.0,0.0,90,3
84,0,2020-03-23,853,157,,,,254,70
3,29,2021-02-18,4,0,,,,453,3
93,90,2021-02-07,503,5,,,,2250,1231
93,9,2021-03-23,3,0,2.0,1.0,0.0,233,0
11,19,2020-12-13,27,4,,,,476,4
